latitud;longitud;precio_numero;num_banos;num_habitaciones;m2;anio_construccion;Parqueadero;Parque;Avenidas_principales;Colegios;Armario;Balcon;Patio;Bodega;Seguridad;OBJECTID;CODPAR;distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION
-1.054741613;-80.47272619;53000;2;3;95;2017;0;1;1;1;0;0;0;0;0;632;5030;0.182987893;0.294738273;0.833008488;0.242431508;0.077832254;0.144490596
-1.033254633;-80.47591515;118000;4;4;120;2017;0;1;1;1;0;0;0;0;0;626;6770;0.782857767;1.057719781;0.089357737;0.885412661;0.324679744;0.028906783
-1.05629619;-80.45499974;250000;4;3;570;2017;0;1;1;1;0;0;0;0;0;626;6770;0.229907687;0.392809128;0.335451874;0.27728315;0.076854719;0.507652232
-1.039035761;-80.47425309;95000;4;4;232;2017;1;1;1;1;0;0;0;0;0;626;6770;0.459850623;0.596706573;0.35697434;0.399530154;0.054713297;0.064880145
-0.858587573;-80.53091107;235000;8;8;481;2017;0;1;1;1;0;0;0;0;0;331;770;0.424804133;0.542910322;0.859177678;2.459442997;0.256100483;1.836547904
-0.858721668;-80.53336261;135000;3;2;185;2017;0;1;1;1;0;0;0;0;0;331;770;0.424804133;0.542910322;0.817172156;2.317224235;0.40091404;1.684860575
-1.041899815;-80.47063779;295000;4;3;509;2017;0;1;1;1;0;0;0;0;0;626;6770;0.067982468;0.097208063;0.188106357;0.267687888;0.038286681;0.230987263
-1.05712217;-80.45606189;73500;2;3;120;2017;1;1;1;1;0;0;0;0;0;626;6770;0.264302568;0.425234791;0.433540206;0.173031735;0.154278221;0.463062586
-1.057347437;-80.45591169;75000;2;3;120;2017;0;1;1;1;0;0;0;0;0;626;6770;0.283091653;0.429184812;0.455411392;0.199076292;0.172701951;0.460612457
-1.037859778;-80.47581956;250000;4;4;320;2017;0;1;1;1;0;0;0;0;0;626;6770;0.67735045;0.813437632;0.415525505;0.593290254;0.167907581;0.118727528
-0.8610442;-80.53368447;240000;7;5;210;2017;0;1;1;1;0;0;0;0;0;331;770;0.424804133;0.542910322;1.074582541;2.070116323;0.293363247;1.440775317
-1.049221225;-80.46478855;1190000;8;8;723;2017;0;1;1;1;0;0;0;0;0;626;6770;0.406910346;0.951173696;0.283063865;0.082166534;0.124032499;0.147843947
