titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,condicion,armarios_empotrados,terraza,balcon,garaje,calefaccion,aire_acondicionado
Piso en venta en avenida Blas Infante,Blas Infante,460000,1.0,3,0,Muchas_plantas,6.0,176,Segunda mano/para reformar,1,1,0,0,1,0
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,745000,1.0,2,1,Primeros_pisos,6.0,224,Segunda mano/para reformar,0,1,1,1,0,0
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,740000,1.0,3,1,Primeros_pisos,5.0,224,Segunda mano/para reformar,1,1,0,1,1,0
"Piso en venta en avenida de la República Argentina, 50",Plaza de Cuba - República Argentina,800000,1.0,4,1,Ultimos_pisos,5.0,265,Segunda mano/para reformar,1,1,0,1,1,1
Piso en venta en calle Naos,Parque de los Principes - Calle Niebla,230000,0.0,1,0,Bajo,3.0,77,Segunda mano/buen estado,1,0,0,0,0,1
Piso en venta en avenida Presidente Adolfo Suárez,Asunción - Adolfo Suárez,168500,1.0,1,0,Ultimos_pisos,1.0,50,Segunda mano/buen estado,1,1,0,0,0,0
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,1125000,1.0,4,1,Ultimos_pisos,4.0,265,Segunda mano/buen estado,1,0,1,1,1,1
Ático en venta en calle Virgen de la Victoria,Asunción - Adolfo Suárez,460000,1.0,2,1,Muchas_plantas,2.0,97,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en Ramón de Carranza - Madre Rafols,Los Remedios,535000,1.0,2,0,Muchas_plantas,5.0,185,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en Ramón de Carranza - Madre Rafols,Los Remedios,447000,1.0,2,1,Ultimos_pisos,4.0,166,Segunda mano/buen estado,1,1,1,0,1,1
Piso en venta en calle Virgen del Águila s/n,Ramón de Carranza - Madre Rafols,670000,1.0,3,1,Ultimos_pisos,4.0,224,Segunda mano/buen estado,1,1,0,1,0,1
Piso en venta en Virgen de la Antigua,Ramón de Carranza - Madre Rafols,386000,1.0,2,1,Bajo,4.0,129,Segunda mano/buen estado,0,0,0,0,1,1
Piso en venta en plaza De Cuba & Republica argentina,Plaza de Cuba - República Argentina,895000,1.0,3,0,Muchas_plantas,5.0,277,Segunda mano/buen estado,1,1,1,1,1,1
"Piso en venta en avenida de la República Argentina, 46",Plaza de Cuba - República Argentina,590000,1.0,2,0,Ultimos_pisos,5.0,184,Segunda mano/buen estado,1,1,0,0,1,1
Ático en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,1300000,1.0,3,1,Muchas_plantas,4.0,294,Segunda mano/para reformar,1,1,0,1,1,0
Piso en venta en Fernando IV,Asunción - Adolfo Suárez,210000,0.0,2,0,Primeros_pisos,3.0,85,Segunda mano/para reformar,0,0,0,0,0,0
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,220000,1.0,1,0,Ultimos_pisos,1.0,60,Segunda mano/buen estado,0,1,0,0,1,0
Piso en venta en avenida Presidente Adolfo Suárez,Asunción - Adolfo Suárez,168500,1.0,1,0,Muchas_plantas,1.0,51,Segunda mano/buen estado,0,0,0,0,1,0
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,260000,0.0,2,0,Primeros_pisos,2.0,84,Segunda mano/buen estado,0,0,1,0,1,0
Ático en venta en Asunción - Adolfo Suárez,Los Remedios,220000,1.0,1,1,Muchas_plantas,1.0,70,Segunda mano/buen estado,1,1,0,0,0,1
Piso en venta en Ramón de Carranza - Madre Rafols,Los Remedios,430000,1.0,2,1,Bajo,4.0,171,Segunda mano/para reformar,0,0,0,1,1,1
Piso en venta en calle Hispano Aviación,Tablada,235000,1.0,1,1,Muchas_plantas,2.0,80,Segunda mano/buen estado,1,0,0,1,0,1
Piso en venta en calle Padre Damián,Ramón de Carranza - Madre Rafols,610000,1.0,2,1,Ultimos_pisos,3.0,150,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,680000,1.0,3,0,Primeros_pisos,5.0,247,Segunda mano/buen estado,1,0,0,1,0,1
Piso en venta en calle Niebla,Plaza de Cuba - República Argentina,250000,0.0,1,0,Primeros_pisos,3.0,84,Segunda mano/buen estado,1,0,0,0,0,1
Piso en venta en Plaza de Cuba - República Argentina,Los Remedios,850000,1.0,3,1,Muchas_plantas,4.0,235,Segunda mano/buen estado,1,1,1,1,1,1
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,690000,1.0,4,0,Ultimos_pisos,5.0,258,Segunda mano/para reformar,1,1,0,1,1,0
Piso en venta en avenida Blas Infante,Blas Infante,465000,1.0,3,0,Primeros_pisos,5.0,180,Segunda mano/buen estado,1,1,0,1,1,1
"Piso en venta en calle Virgen de Guaditoca, 4",Asunción - Adolfo Suárez,285000,1.0,1,0,Primeros_pisos,3.0,97,Segunda mano/buen estado,1,0,0,0,0,1
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,465000,1.0,2,0,Muchas_plantas,2.0,152,Segunda mano/buen estado,1,0,0,1,1,1
Ático en venta en Parque de los Principes - Calle Niebla,Los Remedios,460000,1.0,2,1,Muchas_plantas,2.0,96,Segunda mano/buen estado,1,1,0,0,1,1
"Piso en venta en avenida Presidente Adolfo Suarez, 2",Asunción - Adolfo Suárez,1000000,1.0,4,1,Primeros_pisos,4.0,249,Segunda mano/buen estado,1,1,0,1,0,1
Piso en venta en Asunción - Adolfo Suárez,Los Remedios,750000,1.0,3,1,Muchas_plantas,6.0,218,Segunda mano/buen estado,1,1,0,1,1,1
