latitud;longitud;precio_numero;anio_construccion;RAKING_TOTAL
-1.051914006;-80.48909062;105000;2023;19.03543839
-1.051184568;-80.48842543;88000;2000;18.3692332
-1.051185891;-80.48586448;155000;2018;18.35017876
-0.87318388;-80.53874727;280000;2012;21.22594131
-1.111316646;-80.41368451;85000;2022;15.80084302
-1.059046505;-80.45430547;90000;2022;23.44753788
-1.119905717;-80.40920748;91000;2017;14.66507902
-1.034708375;-80.48113046;95000;2016;19.54572675
-1.047912755;-80.44988751;65000;2023;23.81028284
-1.041627771;-80.47124091;160000;2010;25.91143774
-1.048008244;-80.45974205;270000;2010;23.41714519
-1.068092052;-80.44925078;75000;2017;24.11462376
-1.028325172;-80.46607178;164500;2012;25.7848087
-1.008554681;-80.46329653;100000;2021;16.86273897
-1.051125565;-80.45777853;116500;2017;24.77970907
-1.051431315;-80.48290017;39850;2017;19.00703329
-1.034852629;-80.46651729;93000;2017;23.39355419
-1.109935645;-80.41231515;85000;2017;16.10077509
-1.011471199;-80.46750451;91900;2024;17.72572266
-1.034919505;-80.48765507;68000;2010;19.06843882
-1.050331765;-80.45541819;290000;2003;25.27818702
-1.054404099;-80.4601224;350000;1988;23.76777019
-1.025479006;-80.47378053;109000;2017;20.54164772
-1.016267979;-80.46948903;160000;2013;19.37984766
-1.053475196;-80.46055392;134000;2017;23.94563374
-1.049127667;-80.46601834;320000;2013;22.91001496
-1.048150748;-80.44916854;390000;1985;22.08108675
-1.063618019;-80.45775553;150000;2017;22.2878259
-1.03316697;-80.45694328;78000;2013;18.37738298
-1.020002574;-80.47352799;90000;2017;20.24259851
-1.035624832;-80.46683687;93000;1995;23.38467514
-0.855732367;-80.53063274;240000;2017;17.5296844
-1.018386462;-80.46839207;88000;2022;18.80792953
-1.051993025;-80.44526642;92562;2016;20.50625745
-1.051415073;-80.44806033;450000;1980;24.31065596
-0.86123561;-80.53257463;150000;2017;16.9036837
-1.050058163;-80.4565823;165000;2018;24.87132228
-1.050397293;-80.45513196;250000;2017;25.31236422
-1.029012962;-80.46574267;95000;1988;25.38294376
-1.048142243;-80.48866176;175000;2021;17.10259765
-1.05741355;-80.45484584;125000;2017;22.51407687
-1.047684682;-80.44887266;80000;2005;22.26562989
-1.048118147;-80.45301535;120000;2013;26.96307278
-1.055727858;-80.46279403;85000;2022;23.81420508
-1.056381866;-80.45356351;92000;2022;22.97448789
-1.01874983;-80.46174277;750000;2000;19.84835498
-1.050418656;-80.45770487;265000;2022;25.07291637
-1.05802679;-80.45463292;108000;2017;23.00384799
-1.052293453;-80.44635556;100000;2017;20.15943495
-1.0557955;-80.46436529;170000;2017;23.24681081
-0.876058873;-80.54138657;240000;2017;24.0409057
-1.056210935;-80.45145821;80000;2021;24.10327431
-1.057272101;-80.45835696;93000;2020;26.00543301
-1.057621765;-80.44796986;69000;2019;20.97912144
-1.032021884;-80.33764464;320000;2017;18.67971433
-1.048254277;-80.45229102;350000;1997;25.56196899
-1.039653019;-80.47404356;72000;2023;23.34507526
-1.033307929;-80.46610959;125000;2017;24.15046157
-1.02918334;-80.47474068;93000;2023;19.78749461
-1.02918334;-80.47705811;100700;2017;19.5823039
-1.062188698;-80.45711351;77000;2017;24.19147906
-1.038593614;-80.46854844;85000;2024;25.09101538
-0.853822847;-80.53071857;75000;2022;17.00768833
-1.043573726;-80.46076115;180000;2017;22.23709037
-1.086977444;-80.431817;150000;1993;17.898381
-1.051532153;-80.48244749;37000;2024;19.20858133
-1.04838544;-80.44721274;55000;2019;21.90748278
-1.056294168;-80.46145872;66999;2023;24.15857513
-1.060830844;-80.47130239;45000;2020;22.71161564
-1.016107725;-80.47209576;65000;2017;19.25475001
-1.080221322;-80.49920889;300000;2017;11.82629809
-1.036828741;-80.46581243;100000;2023;22.67140526
-1.054362523;-80.44851873;62000;2017;21.73393738
-1.059886112;-80.44574305;78000;2017;17.86363047
-1.057323096;-80.4732281;329000;2017;22.89845024
-1.033394952;-80.33588511;110000;2022;17.46698428
-1.11742041;-80.41020419;700000;2015;14.85658851
-0.999283176;-80.46496012;52000;2017;13.41040753
-0.91319049;-80.50166254;90000;2011;14.8903818
-0.873547278;-80.53939009;160000;2013;21.89495713
-1.054851718;-80.45366661;43000;2016;24.89489152
-0.896631292;-80.50071319;140000;2007;16.54824307
-1.045710559;-80.65901275;82000;2016;14.65094205
-0.964419148;-80.70885353;150000;2015;20.40041628
-0.873864431;-80.54049915;150000;2000;22.95668897
-0.872121351;-80.53937011;58000;2017;21.41196763
-0.970897098;-80.70624231;85000;2017;20.40041628
-0.859905384;-80.53150174;89000;2017;16.41679795
-0.868636529;-80.53802825;235000;2010;18.08305436
-1.099997245;-80.4103477;170000;2020;16.96592421
-0.858768256;-80.53482768;298000;2017;16.19020707
-0.861128334;-80.53384063;120000;2015;16.69500476
-1.045526573;-80.65986156;32000;2018;14.63835102
-1.175226044;-80.7727046;180000;2024;13.90083425
-0.857631297;-80.53373702;135000;2010;16.61780671
-0.858450109;-80.53176202;220000;2017;16.69641774
-0.862736831;-80.53489312;120000;2015;16.68581136
-0.871540636;-80.53947765;65000;2017;21.02993034
-0.199834877;-78.50787113;480000;2001;20.40041628
